[08-22 04:01:34] [B] B-series start: min=100 b-min=80 plateau=25 threshold=0.68 parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\E7_tail\bundle_000060
[08-22 11:23:40] [B] B3_bridge iter=47 score=0.932 success=1.000 dwell=1.000 survival=1.000 plateau=8
[08-22 11:27:41] [B] B3_bridge iter=51 score=0.943 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 11:33:41] [B] B3_bridge iter=55 score=0.942 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 11:37:41] [B] B3_bridge iter=59 score=0.946 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 11:43:41] [B] B3_bridge iter=63 score=0.950 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 11:47:42] [B] B3_bridge iter=67 score=0.950 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 11:53:42] [B] B3_bridge iter=71 score=0.950 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 11:57:42] [B] B3_bridge iter=75 score=0.950 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 12:03:43] [B] B3_bridge iter=79 score=0.951 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 12:07:43] [B] B3_bridge iter=83 score=0.956 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 12:13:43] [B] B3_bridge iter=87 score=0.956 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 12:19:43] [B] B3_bridge iter=91 score=0.956 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 12:23:44] [B] B3_bridge iter=95 score=0.958 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 12:29:44] [B] B3_bridge iter=99 score=0.939 success=1.000 dwell=1.000 survival=0.950 plateau=4
[08-22 12:33:44] [B] B3_bridge iter=103 score=0.940 success=1.000 dwell=1.000 survival=0.950 plateau=0
[08-22 12:39:44] [B] B3_bridge iter=107 score=0.939 success=1.000 dwell=1.000 survival=0.950 plateau=4
[08-22 12:45:45] [B] B3_bridge iter=111 score=0.939 success=1.000 dwell=1.000 survival=0.950 plateau=8
[08-22 12:49:45] [B] B3_bridge iter=115 score=0.939 success=1.000 dwell=1.000 survival=0.950 plateau=12
[08-22 12:55:45] [B] B3_bridge iter=119 score=0.938 success=1.000 dwell=1.000 survival=0.950 plateau=16
[08-22 13:01:45] [B] B3_bridge iter=123 score=0.938 success=1.000 dwell=1.000 survival=0.950 plateau=20
[08-22 13:05:46] [B] B3_bridge iter=127 score=0.938 success=1.000 dwell=1.000 survival=0.950 plateau=24
[08-22 13:13:46] [B] B3_bridge iter=131 score=0.938 success=1.000 dwell=1.000 survival=0.950 plateau=28
[08-22 13:13:46] [B] B3_bridge qualified and plateaued; requesting graceful stop at iter=131
[08-22 13:15:30] [B] B3_bridge promoted from peak iter=103.0 score=0.9396136360012518 bundle=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B3_bridge\bundle_000100
[08-22 13:15:30] [B] B4_bridge launch (peak-bundle transfer, cap=300, min=100) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B3_bridge\bundle_000100
[08-22 14:01:33] [B] B4_bridge iter=32 score=0.836 success=0.900 dwell=0.900 survival=0.850 plateau=0
[08-22 14:05:33] [B] B4_bridge iter=36 score=0.836 success=0.900 dwell=0.900 survival=0.850 plateau=4
[08-22 14:07:34] [B] B4_bridge iter=38 score=0.814 success=0.900 dwell=0.885 survival=0.750 plateau=6
[08-22 14:09:34] [B] B4_bridge iter=40 score=0.836 success=0.900 dwell=0.885 survival=0.800 plateau=8
[08-22 14:11:34] [B] B4_bridge iter=42 score=0.830 success=0.900 dwell=0.885 survival=0.750 plateau=10
[08-22 14:17:34] [B] B4_bridge iter=46 score=0.829 success=0.900 dwell=0.885 survival=0.750 plateau=14
[08-22 14:21:34] [B] B4_bridge iter=50 score=0.830 success=0.900 dwell=0.885 survival=0.750 plateau=18
[08-22 14:27:35] [B] B4_bridge iter=54 score=0.921 success=1.000 dwell=0.985 survival=0.850 plateau=0
[08-22 14:31:35] [B] B4_bridge iter=58 score=0.914 success=1.000 dwell=0.985 survival=0.850 plateau=4
[08-22 14:37:35] [B] B4_bridge iter=62 score=0.913 success=1.000 dwell=0.985 survival=0.850 plateau=8
[08-22 14:43:36] [B] B4_bridge iter=66 score=0.913 success=1.000 dwell=0.985 survival=0.850 plateau=12
[08-22 14:47:36] [B] B4_bridge iter=70 score=0.912 success=1.000 dwell=0.985 survival=0.850 plateau=16
[08-22 14:53:36] [B] B4_bridge iter=74 score=0.934 success=1.000 dwell=1.000 survival=0.950 plateau=0
[08-22 14:59:37] [B] B4_bridge iter=78 score=0.931 success=1.000 dwell=1.000 survival=0.950 plateau=4
[08-22 15:05:38] [B] B4_bridge iter=82 score=0.941 success=1.000 dwell=1.000 survival=1.000 plateau=0
